@relation 'census_income_data_2000_mockup-weka.filters.supervised.attribute.Discretize-R1,3,4,17,19,6,18,25-weka.filters.unsupervised.attribute.Remove-R16,25-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.supervised.attribute.Discretize-R38-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute education_AHGA {' Associates degree-occup /vocational',' Bachelors degree(BA AB BS)',' High school graduate',' Some college but no degree',' Masters degree(MA MS MEng MEd MSW MBA)',' Prof school degree (MD DDS DVM LLB JD)',' 1st 2nd 3rd or 4th grade',' Associates degree-academic program',' Doctorate degree(PhD EdD)',' 5th or 6th grade',' 9th grade',' 12th grade no diploma',' 11th grade',' 10th grade',' 7th and 8th grade',' Children',' Less than 1st grade'}
@attribute major_occupation_code_AMJOCC {' Precision production craft & repair',' Sales',' Executive admin and managerial',' Not in universe',' Farming forestry and fishing',' Technicians and related support',' Machine operators assmblrs & inspctrs',' Professional specialty',' Handlers equip cleaners etc ',' Protective services',' Transportation and material moving',' Other service',' Adm support including clerical',' Armed Forces',' Private household services'}
@attribute occupation_code_ADTOCC {(-inf-0.5],(0.5-18.5],(18.5-32.5],(32.5-inf)}
@attribute detailed_household_and_family_stat_HHDFMX {' Nonfamily householder',' Householder',' Spouse of householder',' Secondary individual',' Child 18+ never marr Not in a subfamily',' Other Rel 18+ spouse of subfamily RP',' Other Rel 18+ ever marr not in subfamily',' RP of unrelated subfamily',' Child 18+ never marr RP of subfamily',' Other Rel 18+ ever marr RP of subfamily',' Child <18 never marr not in subfamily',' Child 18+ ever marr Not in a subfamily',' Grandchild <18 never marr child of subfamily RP',' Child 18+ spouse of subfamily RP',' Child under 18 of RP of unrel subfamily',' Other Rel <18 never marr child of subfamily RP',' Grandchild <18 never marr not in subfamily',' Other Rel 18+ never marr not in subfamily',' Grandchild 18+ never marr not in subfamily',' Child 18+ ever marr RP of subfamily',' Other Rel <18 spouse of subfamily RP'}
@attribute age_AAGE {(-inf-22.5],(22.5-27.5],(27.5-31.5],(31.5-66.5],(66.5-inf)}
@attribute tax_filer_status_FILESTAT {' Single',' Joint both under 65',' Joint both 65+',' Head of household',' Joint one under 65 & one 65+',' Nonfiler'}
@attribute major_industry_code_AMJIND {' Communications',' Retail trade',' Other professional services',' Finance insurance and real estate',' Not in universe or children',' Education',' Manufacturing-durable goods',' Construction',' Public administration',' Agriculture',' Transportation',' Manufacturing-nondurable goods',' Business and repair services',' Personal services except private HH',' Entertainment',' Utilities and sanitary services',' Medical except hospital',' Wholesale trade',' Hospital services',' Social services',' Mining',' Forestry and fisheries',' Armed Forces',' Private household services'}
@attribute detailed_household_summary_in_household_HHDREL {' Householder',' Spouse of householder',' Nonrelative of householder',' Child 18 or older',' Other relative of householder',' Child under 18 never married'}
@attribute veterans_benefits_VETYN {(-inf-38.5],(38.5-47.5],(47.5-inf)}
@attribute class_of_worker_ACLSWKR {' Private',' Self-employed-incorporated',' Not in universe',' Local government',' State government',' Self-employed-not incorporated',' Federal government',' Never worked',' Without pay'}
@attribute num_persons_worked_for_employer_NOEMP {0,1,2,3,4,5,6}
@attribute industry_code_ADTIND {(-inf-1.5],(1.5-inf)}
@attribute marital_status_AMARITL {' Separated',' Married-civilian spouse present',' Widowed',' Never married',' Divorced',' Married-spouse absent',' Married-A F spouse present'}
@attribute family_members_under_18_PARENT {' Not in universe',' Both parents present',' Mother only present',' Neither parent present',' Father only present'}
@attribute divdends_from_stocks_DIVVAL {(-inf-52],(52-inf)}
@attribute fill_inc_questionnaire_for_veteran_admin_VETQVA {0,1,2}
@attribute sex_ASEX {' Male',' Female'}
@attribute capital_gains_CAPGAIN {(-inf-7364],(7364-inf)}
@attribute country_of_birth_mother_PEMNTVTY {' United-States',' Hungary',' England',' Italy',' Germany',' Poland',' France',' China',' Canada',' Mexico',' Scotland',' Iran',' Philippines',' Thailand',' Ireland',' Dominican-Republic',' Puerto-Rico',' Portugal',' Nicaragua',' Vietnam',' Cuba',' India',' Cambodia',' Japan',' Taiwan',' Peru',' El-Salvador',' Hong Kong',' Jamaica',' South Korea',' Guatemala',' Columbia',' Yugoslavia',' Ecuador',' Trinadad&Tobago',' Honduras',' Haiti'}
@attribute country_of_birth_father_PEFNTVTY {' United-States',' Germany',' England',' Italy',' Poland',' China',' Canada',' Mexico',' Iran',' Philippines',' Thailand',' Dominican-Republic',' Puerto-Rico',' Ireland',' Portugal',' Nicaragua',' Vietnam',' Cuba',' Hungary',' India',' Cambodia',' Taiwan',' Peru',' Outlying-U S (Guam USVI etc)',' Jamaica',' South Korea',' Guatemala',' Scotland',' Columbia',' Japan',' El-Salvador',' Ecuador',' Trinadad&Tobago',' Honduras',' Yugoslavia',' Hong Kong',' Haiti',' France'}
@attribute capital_losses_CAPLOSS {(-inf-1881.5],(1881.5-inf)}
@attribute country_of_birth_self_PENATVTY {' United-States',' England',' Italy',' Poland',' Japan',' Germany',' Canada',' Mexico',' Taiwan',' Iran',' Philippines',' Thailand',' Dominican-Republic',' Puerto-Rico',' Portugal',' Ireland',' Nicaragua',' Vietnam',' Cuba',' India',' Peru',' China',' Hong Kong',' Jamaica',' South Korea',' Guatemala',' Scotland',' Columbia',' El-Salvador',' Trinadad&Tobago',' Honduras',' Cambodia',' Haiti',' France',' Hungary'}
@attribute enrolled_in_edu_inst_last_wk_AHSCOL {' Not in universe',' High school',' College or university'}
@attribute hispanic_Origin_AREORGN {' All other',' Mexican-American',' Other Spanish',' Mexican (Mexicano)',' Puerto Rican',' NA',' Central or South American',' Cuban',' Chicano',' Do not know'}
@attribute wage_per_hour_AHRSPAY {(-inf-212.5],(212.5-917.5],(917.5-1628.5],(1628.5-inf)}
@attribute state_of_previous_residence_GRINST {' Indiana',' Not in universe',' Connecticut',' Utah',' Minnesota',' Florida',' South Dakota',' New Mexico',' Oregon',' District of Columbia',' Oklahoma',' North Carolina',' Virginia',' Alaska',' Abroad',' Mississippi',' Kansas',' North Dakota',' West Virginia',' Michigan',' California',' Maine',' Arizona',' Colorado',' New Hampshire',' Arkansas',' New Jersey',' Montana',' Texas',' Massachusetts',' Iowa',' Wyoming',' Maryland',' New York',' Alabama',' Pennsylvania',' Idaho',' Louisiana',' Tennessee',' Nevada',' Kentucky',' Vermont',' Ohio',' South Carolina',' Georgia',' Missouri',' Delaware',' Illinois'}
@attribute migration_code_change_in_msa_MIGMTR1 {' MSA to MSA',' Nonmover',' NonMSA to nonMSA',' Abroad to MSA',' NonMSA to MSA',' MSA to nonMSA',' Not in universe',' Not identifiable',' Abroad to nonMSA'}
@attribute migration_code_move_within_reg_MIGMTR4 {' Same county',' Nonmover',' Different state in South',' Different county same state',' Different state in Midwest',' Different state in West',' Abroad',' Different state in Northeast',' Not in universe'}
@attribute migration_code_change_in_reg_MIGMTR3 {' Same county',' Nonmover',' Different region',' Different division same region',' Different county same state',' Different state same division',' Abroad',' Not in universe'}
@attribute member_of_a_labor_union_AUNMEM {' Not in universe',' No',' Yes'}
@attribute live_in_this_house_1_year_ago_MIGSAME {' No',' Yes',' Not in universe under 1 year old'}
@attribute mace_ARACE {' White',' Asian or Pacific Islander',' Black',' Amer Indian Aleut or Eskimo',' Other'}
@attribute region_of_previous_residence_GRINREG {' Midwest',' Not in universe',' Northeast',' South',' West',' Abroad'}
@attribute own_business_or_self_employed_SEOTR {0,1,2}
@attribute migration_prev_res_in_sunbelt_MIGSUN {' No',' Not in universe',' Yes'}
@attribute reason_for_unemployment_AUNTYPE {' Not in universe',' Other job loser',' Job loser - on layoff',' Re-entrant',' Job leaver',' New entrant'}
@attribute citizenship_PRCITSHP {' Native- Born in the United States',' Native- Born abroad of American Parent(s)',' Foreign born- U S citizen by naturalization',' Foreign born- Not a citizen of U S ',' Native- Born in Puerto Rico or U S Outlying'}
@attribute taxable_income_amount_TAXINC {' Not in universe',' No',' Yes'}
@attribute Class {above,below}

@data
' High school graduate',' Not in universe',(-inf-0.5],' Nonfamily householder',(66.5-inf),' Single',' Not in universe or children',' Householder',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Divorced',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' 9th grade',' Not in universe',(-inf-0.5],' Spouse of householder',(22.5-27.5],' Joint both under 65',' Not in universe or children',' Spouse of householder',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Precision production craft & repair',(32.5-inf),' Nonfamily householder',(22.5-27.5],' Nonfiler',' Construction',' Householder',(-inf-38.5],' Self-employed-not incorporated',0,(1.5-inf),' Never married',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' Black',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' 11th grade',' Not in universe',(-inf-0.5],' Child <18 never marr not in subfamily',(-inf-22.5],' Nonfiler',' Not in universe or children',' Child under 18 never married',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Never married',' Both parents present',(-inf-52],2,' Female',(-inf-7364],' Portugal',' Outlying-U S (Guam USVI etc)',(-inf-1881.5],' Portugal',' High school',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born abroad of American Parent(s)',' Not in universe',below
' Some college but no degree',' Executive admin and managerial',(0.5-18.5],' Householder',(31.5-66.5],' Head of household',' Finance insurance and real estate',' Householder',(47.5-inf),' Private',3,(1.5-inf),' Divorced',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' Mexico',' United-States',(-inf-1881.5],' Mexico',' Not in universe',' Mexican (Mexicano)',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born abroad of American Parent(s)',' Not in universe',below
' High school graduate',' Adm support including clerical',(18.5-32.5],' Child 18+ spouse of subfamily RP',(27.5-31.5],' Joint both under 65',' Business and repair services',' Child 18 or older',(47.5-inf),' Self-employed-not incorporated',1,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' Mexico',' Mexico',(-inf-1881.5],' Mexico',' Not in universe',' Mexican (Mexicano)',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Foreign born- U S citizen by naturalization',' Not in universe',below
' Associates degree-occup /vocational',' Adm support including clerical',(18.5-32.5],' Householder',(22.5-27.5],' Joint both under 65',' Education',' Householder',(47.5-inf),' State government',1,(1.5-inf),' Married-A F spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' College or university',' All other',(212.5-917.5],' Tennessee',' NonMSA to nonMSA',' Different county same state',' Different county same state',' No',' No',' White',' Midwest',2,' No',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Transportation and material moving',(32.5-inf),' Householder',(31.5-66.5],' Joint both under 65',' Transportation',' Householder',(47.5-inf),' Private',6,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Some college but no degree',' Executive admin and managerial',(0.5-18.5],' Householder',(31.5-66.5],' Joint both under 65',' Construction',' Householder',(47.5-inf),' State government',6,(1.5-inf),' Married-civilian spouse present',' Not in universe',(52-inf),2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' No',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Bachelors degree(BA AB BS)',' Professional specialty',(0.5-18.5],' Secondary individual',(31.5-66.5],' Single',' Entertainment',' Nonrelative of householder',(47.5-inf),' Self-employed-not incorporated',1,(1.5-inf),' Never married',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Prof school degree (MD DDS DVM LLB JD)',' Other service',(18.5-32.5],' Householder',(31.5-66.5],' Joint both under 65',' Business and repair services',' Householder',(38.5-47.5],' Private',4,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' No',' Yes',' White',' Not in universe',2,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Some college but no degree',' Executive admin and managerial',(0.5-18.5],' Spouse of householder',(27.5-31.5],' Joint both under 65',' Retail trade',' Spouse of householder',(47.5-inf),' Private',2,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(212.5-917.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' No',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Not in universe',(-inf-0.5],' Householder',(31.5-66.5],' Joint both under 65',' Not in universe or children',' Householder',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Not in universe',(-inf-0.5],' Nonfamily householder',(31.5-66.5],' Single',' Not in universe or children',' Householder',(47.5-inf),' Not in universe',1,(-inf-1.5],' Divorced',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Associates degree-occup /vocational',' Adm support including clerical',(18.5-32.5],' Child 18+ never marr Not in a subfamily',(22.5-27.5],' Single',' Manufacturing-durable goods',' Child 18 or older',(47.5-inf),' Private',6,(1.5-inf),' Never married',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' Italy',' Italy',(-inf-1881.5],' United-States',' Not in universe',' All other',(917.5-1628.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' No',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Not in universe',(-inf-0.5],' Spouse of householder',(66.5-inf),' Joint both 65+',' Not in universe or children',' Spouse of householder',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Prof school degree (MD DDS DVM LLB JD)',' Professional specialty',(0.5-18.5],' Secondary individual',(27.5-31.5],' Single',' Education',' Nonrelative of householder',(47.5-inf),' Federal government',3,(1.5-inf),' Never married',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Utah',' MSA to MSA',' Same county',' Same county',' Yes',' No',' White',' South',2,' Yes',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Adm support including clerical',(18.5-32.5],' Spouse of householder',(31.5-66.5],' Joint both under 65',' Public administration',' Spouse of householder',(47.5-inf),' Federal government',3,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Private household services',(18.5-32.5],' Secondary individual',(31.5-66.5],' Single',' Private household services',' Nonrelative of householder',(47.5-inf),' Private',4,(1.5-inf),' Divorced',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' Mexican-American',(-inf-212.5],' Colorado',' MSA to MSA',' Same county',' Same county',' Not in universe',' No',' White',' West',0,' No',' Re-entrant',' Native- Born in the United States',' Not in universe',below
' Some college but no degree',' Adm support including clerical',(18.5-32.5],' Spouse of householder',(22.5-27.5],' Joint both under 65',' Finance insurance and real estate',' Spouse of householder',(47.5-inf),' Private',6,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' Mexico',' Mexico',(-inf-1881.5],' Mexico',' Not in universe',' Mexican-American',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Foreign born- Not a citizen of U S ',' Not in universe',below
' High school graduate',' Not in universe',(-inf-0.5],' Nonfamily householder',(66.5-inf),' Single',' Not in universe or children',' Householder',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Widowed',' Not in universe',(52-inf),2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Children',' Not in universe',(-inf-0.5],' Child <18 never marr not in subfamily',(-inf-22.5],' Nonfiler',' Not in universe or children',' Child under 18 never married',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Never married',' Mother only present',(-inf-52],0,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Masters degree(MA MS MEng MEd MSW MBA)',' Professional specialty',(0.5-18.5],' Spouse of householder',(31.5-66.5],' Joint both under 65',' Education',' Spouse of householder',(47.5-inf),' Local government',6,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Adm support including clerical',(18.5-32.5],' Spouse of householder',(31.5-66.5],' Joint both under 65',' Finance insurance and real estate',' Spouse of householder',(47.5-inf),' Private',2,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' No',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Associates degree-occup /vocational',' Sales',(0.5-18.5],' Householder',(31.5-66.5],' Joint both under 65',' Wholesale trade',' Householder',(47.5-inf),' Private',3,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Doctorate degree(PhD EdD)',' Professional specialty',(0.5-18.5],' Nonfamily householder',(31.5-66.5],' Single',' Other professional services',' Householder',(47.5-inf),' Self-employed-not incorporated',1,(1.5-inf),' Never married',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Associates degree-occup /vocational',' Not in universe',(-inf-0.5],' Spouse of householder',(31.5-66.5],' Joint both 65+',' Not in universe or children',' Spouse of householder',(47.5-inf),' Not in universe',2,(-inf-1.5],' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Farming forestry and fishing',(32.5-inf),' Householder',(27.5-31.5],' Single',' Agriculture',' Householder',(47.5-inf),' Private',1,(-inf-1.5],' Never married',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Bachelors degree(BA AB BS)',' Executive admin and managerial',(0.5-18.5],' Householder',(31.5-66.5],' Joint both under 65',' Public administration',' Householder',(47.5-inf),' Federal government',1,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Male',(-inf-7364],' Peru',' Italy',(-inf-1881.5],' Peru',' Not in universe',' Central or South American',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' Other',' Not in universe',0,' Not in universe',' Not in universe',' Foreign born- U S citizen by naturalization',' Not in universe',below
' Some college but no degree',' Machine operators assmblrs & inspctrs',(32.5-inf),' Nonfamily householder',(31.5-66.5],' Single',' Manufacturing-durable goods',' Householder',(47.5-inf),' Private',3,(1.5-inf),' Never married',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',2,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Children',' Not in universe',(-inf-0.5],' Child <18 never marr not in subfamily',(-inf-22.5],' Nonfiler',' Not in universe or children',' Child under 18 never married',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Never married',' Both parents present',(-inf-52],0,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Children',' Not in universe',(-inf-0.5],' Child <18 never marr not in subfamily',(-inf-22.5],' Nonfiler',' Not in universe or children',' Child under 18 never married',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Never married',' Both parents present',(-inf-52],0,' Male',(-inf-7364],' Puerto-Rico',' Puerto-Rico',(-inf-1881.5],' United-States',' Not in universe',' Puerto Rican',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Bachelors degree(BA AB BS)',' Adm support including clerical',(18.5-32.5],' Secondary individual',(27.5-31.5],' Single',' Business and repair services',' Nonrelative of householder',(47.5-inf),' Private',4,(1.5-inf),' Married-spouse absent',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Children',' Not in universe',(-inf-0.5],' Child under 18 of RP of unrel subfamily',(-inf-22.5],' Nonfiler',' Not in universe or children',' Nonrelative of householder',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Never married',' Mother only present',(-inf-52],0,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' 7th and 8th grade',' Not in universe',(-inf-0.5],' Child <18 never marr not in subfamily',(-inf-22.5],' Nonfiler',' Not in universe or children',' Child under 18 never married',(-inf-38.5],' Not in universe',0,(-inf-1.5],' Never married',' Both parents present',(-inf-52],2,' Male',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' Some college but no degree',' Sales',(18.5-32.5],' Spouse of householder',(31.5-66.5],' Joint both under 65',' Retail trade',' Spouse of householder',(47.5-inf),' Private',4,(1.5-inf),' Married-civilian spouse present',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' All other',(212.5-917.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' No',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
' High school graduate',' Not in universe',(-inf-0.5],' Householder',(22.5-27.5],' Head of household',' Not in universe or children',' Householder',(-inf-38.5],' Not in universe',2,(-inf-1.5],' Divorced',' Not in universe',(-inf-52],2,' Female',(-inf-7364],' United-States',' United-States',(-inf-1881.5],' United-States',' Not in universe',' Mexican-American',(-inf-212.5],' Not in universe',' Nonmover',' Nonmover',' Nonmover',' Not in universe',' Yes',' White',' Not in universe',0,' Not in universe',' Not in universe',' Native- Born in the United States',' Not in universe',below
